Entity,Code,Year,Wind consumption - TWh,Hydro consumption - TWh,Solar consumption - TWh,Nuclear consumption - TWh,Biofuels consumption - TWh,Other renewables (including geothermal and biomass) - TWh,Coal consumption - TWh,Oil consumption - TWh,Gas consumption - TWh
Africa,,1965,0,38.626762,0,0,0,0,323.49615,341.07257,9.57193
Africa,,1966,0,43.083344,0,0,0,0,323.12222,369.46457,10.6980915
Africa,,1967,0,44.973988,0,0,0,0,330.2916,368.28156,10.573844
Africa,,1968,0,52.606503,0,0,0,0,343.51288,389.57162,10.717145
Africa,,1969,0,61.391357,0,0,0,0,346.64288,397.3726,12.520175
Africa,,1970,0,76.75119,0,0,0,0,360.75693,434.28757,15.5485
Africa,,1971,0,72.259415,0,0,0,0.5125,383.0123,472.22516,18.405264
Africa,,1972,0,82.31443,0,0,0,0.515625,384.21082,509.09583,24.670658
Africa,,1973,0,87.0714,0,0,0,0.53125,408.91034,549.6427,39.551792
Africa,,1974,0,99.07521,0,0,0,0.546875,425.6462,570.538,44.518486
Africa,,1975,0,104.77214,0,0,0,0.5375,451.0805,598.6075,53.63838
Africa,,1976,0,116.10454,0,0,0,0.578125,481.07416,651.3652,60.98139
Africa,,1977,0,127.57991,0,0,0,0.590625,491.69846,692.9117,68.23419
Africa,,1978,0,128.63037,0,0,0,0.609375,477.8156,730.7279,97.369896
Africa,,1979,0,137.6812,0,0,0,0.628125,507.24698,770.22455,148.84282
Africa,,1980,0,134.19939,0,0,0,0.646875,543.55707,818.9584,186.91397
Africa,,1981,0,139.42473,0,0,0,0.68125,635.79877,887.7277,228.49115
Africa,,1982,0,139.46176,0,0,0,0.7375,701.17584,930.6774,246.73354
Africa,,1983,0,125.686554,0,0,0,0.71875,713.2461,964.2179,271.27536
Africa,,1984,0,123.58326,0,10.902778,0,0.73125,762.8979,978.6124,259.9028
Africa,,1985,0,137.36023,0,14.763888,0,0.840625,787.1659,1003.6883,278.84274
Africa,,1986,0,142.07048,0,24.452778,0,2.059375,805.356,979.9832,313.27118
Africa,,1987,0,136.26794,0,17.130554,0,2.05625,828.3197,1037.7959,323.38437
Africa,,1988,0,148.87071,0,29.14722,0,1.95625,890.1608,1081.3895,358.44455
Africa,,1989,0,156.32281,0,30.830555,0,1.9281249,835.6209,1117.3824,371.47104
Africa,,1990,0,159.04071,0,23.469444,0,2.5179687,877.6783,1138.2854,398.6454
Africa,,1991,0,168.47635,0,25.4,0,2.5679617,853.76215,1142.5394,401.6356
Africa,,1992,0,160.72302,0,25.8,0,2.668583,858.8311,1162.5455,421.27026
Africa,,1993,0.0055555557,157.4514,0,20.152777,0,2.9667873,871.7139,1175.4089,412.64398
Africa,,1994,0.015,159.98903,0,26.93611,0,2.645923,894.4478,1213.8041,431.82797
Africa,,1995,0.0175,165.97299,0,31.391665,0,3.21395,922.4713,1253.9824,461.2435
Africa,,1996,0.019722221,173.0496,0,32.708332,0,3.9619904,935.2283,1282.5608,484.19174
Africa,,1997,0.02,177.31082,0,35.130554,0,4.36372,959.0191,1322.649,474.47556
Africa,,1998,0.02111111,185.15245,0,37.780552,0,5.3882375,937.039,1351.2659,499.337
Africa,,1999,0.054999996,196.34517,0,35.658333,0,5.343073,966.0107,1400.9159,504.01962
Africa,,2000,0.48749998,209.17242,0.033586107,36.13889,0,7.1091027,963.7305,1408.781,556.8223
Africa,,2001,1.1480111,223.51,0.041582875,29.610498,0,7.3381705,975.9263,1431.3003,634.63617
Africa,,2002,1.2152985,233.06349,0.04508962,32.85205,0.49108192,7.2253675,934.42163,1465.1776,670.63605
Africa,,2003,1.4593978,225.11453,0.052540313,34.50408,0.5419653,8.26737,1017.0484,1499.0969,711.5361
Africa,,2004,2.082064,236.3867,0.06302136,36.219845,0.6372228,9.415708,1119.162,1569.3588,830.44904
Africa,,2005,2.0978177,238.82562,0.072864145,30.356596,0,9.591885,1039.073,1643.527,808.0279
Africa,,2006,2.279698,246.13551,0.09382676,26.807484,0.07218361,11.994281,1054.0972,1669.9397,843.7478
